brand,model,top_speed_kmh,battery_capacity_kWh,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,drivetrain,segment,car_body_type
MG,Cyberster GT,200,74.4,168,395,3.2,85,CCS,AWD,G - Sports,Cabriolet
MG,Cyberster Trophy,195,74.4,146,425,5,85,CCS,RWD,G - Sports,Cabriolet
MG,4 Electric 51 kWh,160,50.8,145,300,7.7,68,CCS,RWD,C - Medium,Hatchback
MG,4 Electric 64 kWh,160,61.7,142,360,7.9,116,CCS,RWD,C - Medium,Hatchback
MG,4 Electric 77 kWh,180,74.4,143,425,6.5,110,CCS,RWD,C - Medium,Hatchback
MG,4 Electric XPOWER,200,61.7,160,320,3.8,116,CCS,AWD,C - Medium,Hatchback
MG,5 Electric Long Range,185,57.4,151,335,7.7,60,CCS,FWD,C - Medium,Station/Estate
MG,5 Electric Standard Range,185,46,148,265,7.7,53,CCS,FWD,C - Medium,Station/Estate
MG,S5  EV 49 kWh,170,47.1,139,275,8,80,CCS,RWD,JC - Medium,SUV
MG,S5  EV 64 kWh,190,62.1,134,365,6.3,90,CCS,RWD,JC - Medium,SUV
MG,ZS EV Long Range,175,68.3,155,370,8.4,82,CCS,FWD,JB - Compact,SUV
MG,ZS EV Standard Range,175,49,153,265,8.6,50,CCS,FWD,JB - Compact,SUV
Maserati,GranCabrio Folgore,290,83,198,395,2.8,190,CCS,AWD,F - Luxury,Cabriolet
Maserati,GranTurismo Folgore,325,83,182,420,2.7,217,CCS,AWD,F - Luxury,Coupe
Maserati,Grecale Folgore,220,95,220,400,4.1,110,CCS,AWD,JE - Executive,SUV
Maxus,MIFA 9,180,84,195,365,9.2,103,CCS,FWD,N - Passenger Van,Small Passenger Van
Mazda,6e 68.8 kWh,175,66,138,390,7.6,120,CCS,RWD,D - Large,Liftback Sedan
Mazda,6e Long Range 80 kWh,175,75,136,440,7.8,70,CCS,RWD,D - Large,Liftback Sedan
Mercedes-Benz,CLA 250+,210,85,122,565,6.7,235,CCS,RWD,D - Large,Sedan
Mercedes-Benz,CLA 350 4MATIC,210,85,126,550,4.9,235,CCS,AWD,D - Large,Sedan
Mercedes-Benz,EQA 250,160,66.5,146,395,8.6,100,CCS,FWD,JC - Medium,SUV
Mercedes-Benz,EQA 250+,160,70.5,142,420,8.6,90,CCS,FWD,JC - Medium,SUV
Mercedes-Benz,EQA 300 4MATIC,160,66.5,162,350,7.7,100,CCS,AWD,JC - Medium,SUV
Mercedes-Benz,EQA 350 4MATIC,160,66.5,162,350,6,100,CCS,AWD,JC - Medium,SUV
Mercedes-Benz,EQB 250+,160,70.5,152,415,8.9,90,CCS,FWD,JC - Medium,SUV
Mercedes-Benz,EQB 300 4MATIC,160,66.5,168,345,8,100,CCS,AWD,JC - Medium,SUV
Mercedes-Benz,EQB 350 4MATIC,160,66.5,168,345,6.2,100,CCS,AWD,JC - Medium,SUV
Mercedes-Benz,EQE 300,210,89,163,525,7.3,120,CCS,RWD,E - Executive,Sedan
Mercedes-Benz,EQE 350 4MATIC,210,90.6,173,515,6.3,141,CCS,AWD,E - Executive,Sedan
Mercedes-Benz,EQE 350+,210,96,164,555,6.5,141,CCS,RWD,E - Executive,Sedan
Mercedes-Benz,EQE 500 4MATIC,210,90.6,173,505,4.7,141,CCS,AWD,E - Executive,Sedan
Mercedes-Benz,EQE AMG 43 4MATIC,210,90.6,207,450,4.2,141,CCS,AWD,E - Executive,Sedan
Mercedes-Benz,EQE AMG 53 4MATIC+,220,90.6,208,450,3.5,141,CCS,AWD,E - Executive,Sedan
Mercedes-Benz,EQE SUV 300,210,90.6,182,450,7.6,141,CCS,RWD,JE - Executive,SUV
Mercedes-Benz,EQE SUV 350 4MATIC,210,90.6,189,435,6.6,141,CCS,AWD,JE - Executive,SUV
Mercedes-Benz,EQE SUV 350+,210,96,164,475,6.9,141,CCS,RWD,JE - Executive,SUV
Mercedes-Benz,EQE SUV 500 4MATIC,210,96,187,455,4.9,141,CCS,AWD,JE - Executive,SUV
Mercedes-Benz,EQE SUV AMG 43 4MATIC,210,90.6,214,425,4.3,141,CCS,AWD,JE - Executive,SUV
Mercedes-Benz,EQE SUV AMG 53 4MATIC+,240,90.6,242,420,3.5,141,CCS,AWD,JE - Executive,SUV
Mercedes-Benz,EQS 350,210,96,165,570,6.7,130,CCS,RWD,F - Luxury,Sedan
